title,date_of_patent,patent_n,description,type,assignees,inventors
Recovery of application functions via analysis of application operational requests,"September 10, 2019",1040968,"An application recovery system is configured to recover an application executing on a client device by determining that an application is operating abnormally and providing recovery instructions to the application. The application executing on a client device includes a main portion of the application and a recovery portion of the application. The recovery portion of the application sends requests for recovery instructions to a network system. The network system receives the recovery requests and analyzes operational requests generated by the main portion of the application to identify failing functions and their associated software packages. The recovery instructions are determined based on the identified failing functions and their associated software packages and sent to the client device. The client device applies the recovery instructions to modify the application such that the application recovers normal operation.
                        ",Grant,"UberTechnologies,Inc.","Tuomas Santeri Artman, Naveen Narayanan, Bruce McLaren Stanley"
"Methods, systems, and apparatus for multi-sensory stereo vision for robotics","September 10, 2019",1041236,"Embodiments of the present invention include multi-sensory stereo vision sensors suitable for use in robotics, navigation, machine vision, manufacturing, and other applications. In some cases, a sensor includes a stereo camera that produces image data for use in generating disparity maps to determine the positions of objects in the scene and/or the position of the sensor itself. The stereo sensor may include image sensors that are fastened to a unitary frame to prevent undesired drift and a thermal pad that wicks heat away from a processor. The processor may provide an efficient means to directly compute stereo disparity maps onboard the sensor. A sensor can also include a laser rangefinder that provides range data suitable for calibrating the stereo camera and for improving its accuracy in certain environments. In some cases, the laser is coupled to a spindle, which in turn is driven by a geartrain through a slipping clutch.
                        ",Grant,"UberTechnologies,Inc.","Christopher Charles Osterwood, Daniel Leland Strother, David Arthur LaRose"
Mapless user interfaces for limited network conditions,"September 10, 2019",1041219,"A client device provides mapless user interfaces to show a service provider's progress in movement toward a start location. One type of mapless interface is a grid interface, which the device selects if the device is subject to low network connectivity. The grid interface includes graphics representing the start location and the service provider. The two graphics are displayed at their respective location coordinates on a coordinate grid. Because the grid interface does not include a map, it can be loaded relatively quickly even when the service requestor device is experiencing low network connectivity.
                        ",Grant,"UberTechnologies,Inc.",Bryant Jow
Autonomous vehicle sensor calibration system,"September 3, 2019",1040150,"Systems and methods for automatically calibrating autonomous vehicle sensors are provided. In one example embodiment, a computer implemented method includes obtaining data associated with one or more targets located onboard an autonomous vehicle. The data associated with the targets is acquired via one or more first sensors located onboard a first portion of the autonomous vehicle. The targets are located onboard a second portion of the autonomous vehicle. The method includes determining a movement associated with the second portion of the autonomous vehicle based at least in part on the data associated with the targets. The method includes determining a sensor correction action associated with one or more second sensors located onboard the second portion of the autonomous vehicle based at least in part on the movement. The method includes implementing the sensor correction action for the second sensors located onboard the second portion of the autonomous vehicle.
                        ",Grant,"UberTechnologies,Inc.",Matthew Shaw Wood
Enabling a user to verify a price change for an on-demand service,"September 3, 2019",1040284,"A method for enabling a user to verify a price change for an on-demand service is provided. One or more processors can determine a real-time price for providing the on-demand service to the user. The one or more processors can determine when the real-time price is equal to or exceeds a threshold price. In response to a request from the user for the on-demand service when the real-time price is equal to or exceeds the threshold price, an intermediate interface can be provided that the user is to correctly respond to before a service request can be transmitted to a service system.
                        ",Grant,"UberTechnologies,Inc.","Mina Radhakrishnan, Shalin Amin, Curtis Chambers, Ryan McKillen, Travis Cordell Kalanick"
System and method for evaluating drivers using sensor data from mobile computing devices,"September 3, 2019",1040277,"A network computer system determines a driving ability of a driver using sensor data that is obtained from a mobile computing device of a driver. In some examples, the network computer system determines the driving ability by comparing the sensor data obtained from the mobile computing device of the driver with a set of sensor values that are based at least in part on sensor data obtained from one or more other drivers over a same or similar route.
                        ",Grant,"UberTechnologies,Inc.","Nirveek De, Dhruv Tyagi, Joseph Sullivan"
Hierarchical selection process,"August 27, 2019",1039533,"A network system can communicate with a user device and receive a set of request data for a scheduled request at a scheduled date and a scheduled time. The set of request data indicates a start location and a destination location for the scheduled request. The network system can record the scheduled request in a scheduling log, and implement a hierarchical selection process to fulfill the scheduled request.
                        ",Grant,"UberTechnologies,Inc.","Russell Dicker, Qinming Fang, Vincent Yates, Thomas Fallows, Marc Pottier, Michael Reckhow"
Autonomous vehicle performance optimization system,"August 27, 2019",1039202,"An autonomous vehicle (AV) performance optimization system can determine a set of performance metrics for determining AV performance. The system can receive AV performance data from AVs operating or configured for operation throughout a given region. Based on the AV performance data, the system can determine a set of deficient performance metrics in which the AV does not meet one or more performance thresholds of a set of performance metrics. The system may then generate a configuration package, executable by the AV, comprising a set of control system parameter adjustments for meeting or exceeding the one or more performance thresholds corresponding to the deficient performance metrics.
                        ",Grant,UberTechnologiesInc.,"William Payne Ross, Brett Browning"
Selecting vehicle type for providing transport,"August 27, 2019",1039528,"A transport arrangement system operates to receive a transport request from a user, and to make a selection of a vehicle type for the user based at least in part on a set of criteria associated with the transport request or user information. For example, the determination of whether an autonomous vehicle is to be provided can be based at least in part on the destination specified with the transport request.
                        ",Grant,"UberTechnologies,Inc.","William Ross, John Bares, David LaRose, Matthew Sweeney"
Operator tag search system,"August 27, 2019",1039483,"An operator tag search system can generate a search page including a search box and identify an initial set of user inputs in the search box. The search system can generate operator tags in the search box, where each operator tag includes a selected search property, an operator, and an inputted value. The search system can perform a dynamic search in one or more databases to satisfy each of the operator tags. Based on the dynamic search, the search system can generate a results feature for display on the search page.
                        ",Grant,"UberTechnologies,Inc.","Frank Seo Cho, John Conway Badalamenti"
Vehicle management system,"August 27, 2019",1039544,"Systems, methods, and vehicles for stopping the motion of a vehicle are provided. In one example embodiment, a method obtaining, by one or more computing devices on-board an autonomous vehicle, data indicative of one or more parameters associated with the autonomous vehicle. The method includes determining an existence of a fault associated with the autonomous vehicle based at least in part on the one or more parameters associated with the autonomous vehicle. The method includes determining one or more actions to be performed by the autonomous vehicle based at least in part on the existence of the fault. At least one of the actions includes stopping a motion of the autonomous vehicle. The method includes providing one or more control command signals to one or more of the systems on-board the autonomous vehicle to facilitate stopping the motion of the autonomous vehicle in response to the existence of the fault.
                        ",Grant,"UberTechnologies,Inc.","Scott Poeppel, Nicholas G. Letwin, Sean J. Kelly"
Lidar display systems and methods,"August 27, 2019",1039434,"Systems and methods for displaying imagery on a Light Detection and Ranging (LIDAR) system are provided. In one example embodiment, a method includes determining, by the one or more computing devices, a rotational frequency of a LIDAR device located on a vehicle. The method includes illuminating, by the one or more computing devices, one or more of a plurality of light emitting elements coupled to the LIDAR device based at least in part on the rotational frequency of the LIDAR device and the one or more images for display.
                        ",Grant,"UberTechnologies,Inc.","Richard Brian Donnelly, David Patrick Rice, Philipp Haban, Thomas Jeffery Watson, Jr."
Autonomous vehicle collision mitigation systems and methods,"August 20, 2019",1038685,"Systems and methods for controlling an autonomous vehicle are provided. In one example embodiment, a computer-implemented method includes obtaining, from an autonomy system, data indicative of a planned trajectory of the autonomous vehicle through a surrounding environment. The method includes determining a region of interest in the surrounding environment based at least in part on the planned trajectory. The method includes controlling one or more first sensors to obtain data indicative of the region of interest. The method includes identifying one or more objects in the region of interest, based at least in part on the data obtained by the one or more first sensors. The method includes controlling the autonomous vehicle based at least in part on the one or more objects identified in the region of interest.
                        ",Grant,"UberTechnologies,Inc.","Matthew Shaw Wood, William M. Leach, Scott C. Poeppel, Nicholas G. Letwin, Noah Zych"
Lost device detection using geospatial location data,"August 13, 2019",1038289,"A network system detects lost client devices based on a comparison of geospatial locations transmitted by user and provider client devices during and after a service. The network system assigns a service status indicating that a service from a start location to a destination location is in progress and monitors the locations of the user and provider client devices during the duration of the service and for a specified period of time after the service ends. In response to determining that the user and provider client devices remain in proximity to each other after the service has ended, the network system notifies the user of the lost device.
                        ",Grant,"UberTechnologies,Inc.","Karna Chokshi, Michael O'Herlihy, Zach Singleton"
Charge control system for mobile energy storage fleet,"August 13, 2019",1037726,"Vehicle control systems can include one or more location sensors, an energy storage device, one or more charge sensors and one or more vehicle computing devices. The location sensor(s) can determine a current location of a vehicle, while the charge sensor(s) can determine a current state of charge of an energy storage device that can be located onboard the vehicle to provide operating power for one or more vehicle systems. The vehicle computing device(s) can communicate the current location of the vehicle and current state of charge of the energy storage device to a remote computing device, receive from the remote computing device a charging control signal determined, at least in part, from the current location of the vehicle and the current state of charge of the energy storage device, and control charging of the energy storage device in accordance with the charging control signal.
                        ",Grant,"UberTechnologies,Inc.","Richard Brian Donnelly, Sean Jeffrey Kelly, Justin Wayne Ho, James Lee Epifano"
Noise testing in an autonomous vehicle,"August 13, 2019",1038286,"The present disclosure provides systems and methods for determining a noise level associated with an autonomous vehicle. The autonomous vehicle can include a passenger compartment configured to house one or more passengers. A method can include positioning one or more microphones at one or more locations in the passenger compartment, collecting first data indicative of a first sound level by the one or more microphones with the autonomous vehicle operating at a first operating condition, implementing an operating condition change for the autonomous vehicle from the first operating condition to a second operating condition, collecting second data indicative of a second sound level by the one or more microphones, and determining a noise level associated with the autonomous vehicle based at least in part on the first data and the second data.
                        ",Grant,"UberTechnologies,Inc.",Paul Kevin Smith
Network computer system to evaluate an operator of a freight vehicle,"August 6, 2019",1037349,"A network computer system can associate an operator with a mobile device. Additionally, the network computer system can determine a current location of a freight vehicle operated by the operator, using location information transmitted by the mobile device associated with the operator. At a given instance, the network computer system can determine a time of arrival for the freight vehicle to arrive at a given destination location based on various parameters. For example, the time of arrival can be based at least in part, on (i) a distance between the current location of the freight vehicle to the given destination location, (ii) a time for the freight vehicle to travel the distance, and (iii) a duration of one or more required downtime intervals during which one or more restrictions are placed on the operator operating the freight vehicle.
                        ",Grant,"UberTechnologies,Inc.","Luis Madrigal, Eyal Lasker, Xiao Guo, Padmini Pyapali, Tony Ran Zhang"
System and methods for performing multivariate optimizations based on location data,"August 6, 2019",1037154,"An optimization and recommendation engine can receive user location data to programmatically generate customized recommendations regarding the user's operation as a potential service provider for a network service. The optimization and recommendation engine can determine potential service routes based on the user location data indicating a frequent route of the user and on service data associated with the network service. The optimization and recommendation engine can also perform multivariate optimizations to select one or more optimal service routes from the potential service routes. The recommendations can include the one or more optimal service routes as well as parameters associated with such routes. The recommendations can further include a comparison of the parameters against characteristics of the user's frequent route.
                        ",Grant,"UberTechnologies,Inc.","Michael O'Herlihy, Nirveek De"
Systems and methods for controlling autonomous vehicles that provide a vehicle service to users,"August 6, 2019",1037214,"Systems and methods for determining autonomous vehicle user boarding times are provided. In one example embodiment, a computer implemented method includes obtaining location data associated with a user device associated with a user. The method includes determining an estimated time until the user starts boarding the autonomous vehicle based at least in part on the location data associated with the user device. The method includes obtaining data associated with the user. The method includes determining an estimated time of boarding duration for the user based at least in part on the data associated with the user. The method includes determining an estimated time until the user completes boarding of the autonomous vehicle based at least in part on the estimated time until the user starts boarding the autonomous vehicle and the estimated time of boarding duration for the user.
                        ",Grant,"UberTechnologies,Inc.","Richard Brian Donnelly, Michael Aitken"
System for safe passenger departure from autonomous vehicle,"July 30, 2019",1036565,"Systems and methods for controlling an autonomous vehicle based on a passenger-initiated action are provided. In one example embodiment, a computer implemented method includes detecting, by one or more computing devices on-board an autonomous vehicle, a first status change of a vehicle door. The first status change is associated with a first user action associated with the vehicle door. The method includes detecting a second status change of the vehicle door. The second status change is associated with a second user action associated with the vehicle door. The method includes determining one or more vehicle actions based at least in part on at least one of the first status change or the second status change associated with the vehicle door. The method includes providing one or more control signals to one or more systems on-board the autonomous vehicle to implement the vehicle actions.
                        ",Grant,"UberTechnologies,Inc.","Matthew Shaw Wood, Scott C. Poeppel"
Proactive delivery of navigation options,"July 30, 2019",1036511,"Various embodiments pertain to techniques for proactively delivering navigation options to a user via a mobile device. In various embodiments, one or more navigation options can be determined for the user and delivered to the user's mobile device at a relevant time. Navigation options can be selected based on the user's current location, the user's future plans, the time, and other locally relevant information, such as friends nearby or a nearby favorite location of the user. The navigation options can be delivered to the user's mobile device at a time that the navigation options are relevant.
                        ",Grant,"UberTechnologies,Inc.","Gary Voronel, Donald Barnett, Timothy Wantland, Ran Mokady, Amid Moradganjeh"
Method and system for ultrasonic proximity service,"July 16, 2019",1035578,"A network service can detect an ultrasonic signal by an ultrasonic receptive component of a first device. The ultrasonic signal can be based on an ultrasonic output signal transmitted from an audio output component. In response to the detected ultrasonic signal, the network service can perform a network service operation.
                        ",Grant,"UberTechnologies,Inc.",Fahrettin Olcay Cirit
Providing remote assistance to an autonomous vehicle,"July 9, 2019",1034580,"An event is detected that impairs a confidence level of the autonomous vehicle in progressing through a current route. In response to detecting the event, the autonomous vehicle communicates information about the event to a remote source of guidance. The autonomous vehicle can receive instructions from the remote source of guidance on how to handle the event. The autonomous vehicle can then implement the instructions to handle the event while it operates.
                        ",Grant,"UberTechnologies,Inc.","William Ross, John Bares, David LaRose, Matthew Sweeney"
Systems and methods to obtain passenger feedback in response to autonomous vehicle driving events,"July 9, 2019",1034688,"The present disclosure provides systems and methods to obtain autonomous vehicle passenger feedback. In particular, the systems and methods of the present disclosure can detect an occurrence of a driving event performed by an autonomous vehicle and, in response, provide an interactive user interface that enables a passenger of the autonomous vehicle to enter passenger feedback regarding the occurrence of the driving event. Thus, the systems and methods of the present disclosure can actively prompt passenger feedback in response to a particular instance of a specific type of driving event, thereby enabling improved collection of information about autonomous vehicle ride quality relative to specific types of driving events.
                        ",Grant,"UberTechnologies,Inc.","Molly Castle Nix, Sean Chin, Dennis Zhao, Daniel Hertz"
Systems and methods to control autonomous vehicle motion,"July 9, 2019",1034580,"The present disclosure provides systems and methods that control the motion of an autonomous vehicle by rewarding or otherwise encouraging progress toward a goal, rather than simply rewarding distance travelled. In particular, the systems and methods of the present disclosure can project a candidate motion plan that describes a proposed motion path for the autonomous vehicle onto a nominal pathway to determine a projected distance associated with the candidate motion plan. The systems and methods of the present disclosure can use the projected distance to evaluate a reward function that provides a reward that is positively correlated to the magnitude of the projected distance. The motion of the vehicle can be controlled based on the reward value provided by the reward function. For example, the candidate motion plan can be selected for implementation or revised based at least in part on the determined reward value.
                        ",Grant,"UberTechnologies,Inc","Eric Lloyd Wilkinson, Jacob Panikulam, J. Andrew Bagnell"
External sensor assembly for vehicles,"July 9, 2019",1034362,"A sensor assembly may include a housing and a collection of optical sensors. The housing may include a base portion, and a raised portion defining a summit of the housing. A collection of optical sensors may include a first set of forward-facing optical sensors individually aligned with a corresponding opening in a front segment of the base portion for the housing, a second set of rear-facing optical sensors individually aligned with a corresponding opening in a rear segment of the base portion for the housing, and multiple sets of lateral optical sensors. Each set of lateral optical sensors may be aligned with a corresponding opening in one of multiple lateral segments of the base portion of the housing. Additionally, at least a first long distance sensor may be mounted on the summit.
                        ",Grant,"UberTechnologies,Inc.",Brian Zajac
Decreasing autonomous vehicle power consumption,"July 9, 2019",1034363,"Systems and methods for decreasing vehicle power consumption are provided. In one example embodiment, a method includes sending one or more first control signals to one or more control systems of an autonomous vehicle, the autonomous vehicle operating in a first mode and configured to provide a service to one or more users of the service. The one or more control signals cause the one or more control systems to autonomously park the vehicle at the location. The method includes sending, after the autonomous vehicle has autonomously parked at the location, one or more second control signals to the one or more control systems of the autonomous vehicle causing the autonomous vehicle to operate in a second mode, wherein the second mode requires less power than the first mode.
                        ",Grant,"UberTechnologies,Inc.","Scott C. Poeppel, Nicholas G. Letwin, Sean J. Kelly"
Disabling onboard input devices in an autonomous vehicle,"July 9, 2019",1034369,"Systems and methods for disabling autonomous vehicle input devices are provided. In one example embodiment, a computer implemented method includes identifying an operating mode of an autonomous vehicle. The method includes determining one or more vehicle input devices to be disabled based at least in part on the operating mode of the autonomous vehicle. The vehicle input devices are located onboard the autonomous vehicle. The method includes disabling the one or more vehicle input devices based at least in part on the identified operating mode of the autonomous vehicle such that an input by a user with respect to the one or more vehicle input devices does not affect an operation of the autonomous vehicle.
                        ",Grant,"UberTechnologies,Inc.","Scott C. Poeppel, Nicholas G. Letwin, Sean J. Kelly, Hans Jonas Nilsson, Carl Henrick Mathias Westlund"
Dynamic LIDAR sensor controller,"July 2, 2019",1033822,"A laser imaging, detection and ranging (LIDAR) system for an autonomous vehicle (AV) includes a LIDAR sensor comprising a plurality of configurable parameters, and a sensor controller. The sensor controller can execute sensor configuration logic to adjust one or more of the plurality of configurable parameters of the LIDAR sensor in response to AV feedback from a control system of the AV.
                        ",Grant,"UberTechnologies,Inc.",Scott Boehmke
Verifying sensor data using embeddings,"July 2, 2019",1034181,"A network system analyzes data samples using embeddings based on, for example, symbolic representations of the data samples or representations in latent dimension space. The network system coordinates providers who provide geographical location-based services to users. The network system may receive data samples from the client device of a provider. For instance, a sensor of the client device captures the data samples during a transportation service along a particular route. To verify that the data samples accurately indicate the location or movement of the provider, the network system can generate a test embedding representing the data samples and compare the test embedding with a reference embedding. The reference embedding is generated based on data samples captured for other similar services, e.g., corresponding to providers who also provided transportation services along the same particular route.
                        ",Grant,"UberTechnologies,Inc.",Fahrettin Olcay Cirit
Methods and systems for providing alerts to a connected vehicle driver and/or a passenger via condition detection and wireless communications,"June 25, 2019",1032885,"Methods and systems for alerting a vehicle driver and/or a passenger via wireless communications. One or more conditions with respect to a vehicle are monitored. A change in the condition(s) is detected and a signal automatically and wirelessly transmitted to a computing device, wherein the signal is indicative of the change in condition(s). The driver and/or the passenger is then alerted to the change in condition(s) in response to transmitting the signal to the computing device (e.g., a tablet computing device, smartphone, smartwatch, other wearable device, in-vehicle system, etc.) associated with the driver and/or the vehicle passenger.
                        ",Grant,"UberTechnologies,Inc.","Brennan T. Lopez-Hinojosa, Kermit D. Lopez"
Dynamically determining origin and destination locations for a network system,"June 25, 2019",1033048,"A network system dynamically determines a route, including start and end points, for vehicles in a transportation network. The transportation network receives a service request from a user of the transportation network including an origin location for the trip and a destination location for the trip. The transportation network then generates a waypoint plan for one or more vehicles, which includes the requested origin and destination in addition to any previously requested origins and destinations included in the vehicles current route. The network system then determines a directionality for each of the waypoints in the waypoint plan and retrieves candidate start and end points that have an associated directionality within a threshold angle of the directionality of each waypoint and are proximate to the waypoint. The network system evaluates each combination of retrieved candidate points to select a route for the vehicle.
                        ",Grant,"UberTechnologies,Inc.","Qi Chen, Casey Lawler, Linfeng Shi, Qing Xu, Miao Yu"
Supervised movement of autonomous vehicle,"June 25, 2019",1033113,"The present disclosure provides systems and methods for controlling autonomous vehicles. In one example implementation, a method includes providing for display to a passenger of an autonomous vehicle, by a computing system having one or more computing devices, a user interface on a display device. The user interface includes at least one interface element associated with directing movement of the autonomous vehicle. The method includes receiving, by the computing system, a user interaction for a time period directed to the interface element. During the time period, the method includes providing, by the computing system, one or more signals indicative of the user interaction to control the autonomous vehicle to autonomously travel along a predetermined path.
                        ",Grant,"UberTechnologies,Inc.","Matthew Shaw Wood, Scott C. Poeppel"
Detecting objects within a vehicle in connection with a service,"June 25, 2019",1032982,"A system for monitoring a vehicle used in providing a service is disclosed. The system detects when the service is complete, and upon detecting that the service is complete, the system determines, from one or more sensors of the vehicle, that an object which should have been removed from the vehicle after completion of the transport service, remains in the vehicle. The system then automatically initiates performance of a remedial action.
                        ",Grant,"UberTechnologies,Inc.","David McAllister Bradley, Jean-Sebastien Valois"
Facilitating direct rider driver pairing for mass egress areas,"June 18, 2019",1032544,"A transport facilitation can identify a mass egress area within a given region and receive a pick-up request from a rider device within the mass egress area. In response to receiving the pick-up request, the transport facilitation system transmit a match code to the rider device. The system may then receive an indication of the match code from a driver device, the indication signifying a pick-up event between a requesting user of the rider device and an available driver of the driver device within the mass egress area, and record a state for both the rider device and the driver device indicating an initiation of a ride to a destination of the requesting user.
                        ",Grant,"UberTechnologies,Inc.","Kevin Brinig, Fahrettin Olcay Cirit, Margaret-Ann Julia Seger"
Range-view LIDAR-based object detection,"June 4, 2019",1031008,"Systems and methods for detecting and classifying objects that are proximate to an autonomous vehicle can include receiving, by one or more computing devices, LIDAR data from one or more LIDAR sensors configured to transmit ranging signals relative to an autonomous vehicle, generating, by the one or more computing devices, a data matrix comprising a plurality of data channels based at least in part on the LIDAR data, and inputting the data matrix to a machine-learned model. A class prediction for each of one or more different portions of the data matrix and/or a properties estimation associated with each class prediction generated for the data matrix can be received as an output of the machine-learned model. One or more object segments can be generated based at least in part on the class predictions and properties estimations. The one or more object segments can be provided to an object classification and tracking application.
                        ",Grant,"UberTechnologies,Inc.","Ankit Laddha, J. Andrew Bagnell, Varun Ramakrishna, Yimu Wang, Carlos Vallespi-Gonzalez"
Seamless vehicle entry,"June 4, 2019",1031050,"Systems, methods, tangible non-transitory computer-readable media, and devices for autonomous vehicle operation are provided. For example, a method can include receiving trip data that includes information associated with a request for the autonomous vehicle at a pick-up location. The autonomous vehicle can then travel to the pick-up location. The autonomous vehicle can detect one or more signals associated with the trip data. In response to determining that the one or more signals satisfy one or more broadcast criteria associated with authorizing access to the autonomous vehicle, the autonomous vehicle can activate one or more vehicle systems associated with fulfilling the request for the autonomous vehicle at the pick-up location. The one or more broadcast criteria can be based in part on one or more properties of the one or more signals.
                        ",Grant,"UberTechnologies,Inc.","Eric James Hanson, Molly Castle Nix, Sean Chin, Dennis Zhao"
System and method for providing dynamic supply positioning for on-demand services,"June 4, 2019",1031383,"A method for providing on-demand service information is provided. One or more processors determine, for a given geographic region, position information for each of a plurality of requesters for an on-demand service and position information for each of a plurality of service providers that can provide the on-demand service. A plurality of sub-regions is identified for the given geographic region. Based, at least in part, on the position information of the requesters and the service providers, one or more sub-regions are determined as being under-supplied by the plurality of service providers as compared to one or more other sub-regions. Information identifying the under-supplied sub-regions are provided to one or more service provider devices.
                        ",Grant,"UberTechnologies,Inc.","Hungyu Henry Lin, Travis Cordell Kalanick, Emily Wang"
Facilitating direct rider driver pairing for mass egress areas,"May 28, 2019",1030427,"A computing system can receive a first transport request from a computing device of a respective user while a rider application is operating in the default mode, and transmit a confirmation indicating information about a paired driver that is assigned to the first transport request to the computing device of the respective user. The computing system may further receive a second transport request from the computing device of the respective user while the rider application is operating in the secondary mode, and transmit data comprising a unique match code to the computing device of the respective user, causing the rider application to generate and output digital signature.
                        ",Grant,"UberTechnologies,Inc.","Kevin Brinig, Fahrettin Olcay Cirit, Margaret-Ann Julia Seger"
Facilitating rider pick-up for a self-driving vehicle,"May 28, 2019",1030317,"A control system of a self-driving vehicle (SDV) can process sensor data from the sensor system to autonomously operate acceleration, braking, and steering systems of the SDV throughout a given region. The control system can receive a transport directive from a transport facilitation system to service a pick-up request from a requesting user, the transport directive indicating an inputted pick-up location by the requesting user. The control system can then autonomously operate the acceleration, braking, and steering systems along a current route to a pick-up area encompassing the inputted pick-up location. The control system can further determine a corresponding set of pick-up location options for the pick-up area, and as the SDV approaches the pick-up area, perform a hierarchical operation to identify, via the sensor data, an optimal pick-up location to rendezvous with the requesting user.
                        ",Grant,"UberTechnologies,Inc.","Peter Rander, Anthony Stentz, Brett Browning, Bryan Nagy"
Quantification of user receptiveness via machine learning,"May 28, 2019",1030411,"A server provides communications to users and evaluates actions of the users after the provision of the communications to determine how receptive the various users are to such communications. Receptiveness is determined through a training process involving the formation of training sets based on whether users a test set of users were receptive to a previous set of communications, the derivation of relevant features for the users of the training set, the training of a model based on the derived features, and the use of the model for users whose receptiveness is to be estimated. With the most receptive users identified, the server can focus in future on communicating with those most receptive users.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Fei Guo, Xinyu Tang"
Trip anomaly detection system,"May 28, 2019",1030186,"An anomaly detection system is provided in connection with a transport service. The anomaly detection system can monitor progress of the transport service using received location data from driver and/or user mobile devices. During the progress of the transport service, the anomaly detection system can determine a probable anomaly by determining that a geographic position of the driver's vehicle has remained static for a period of time exceeding a threshold period of time, and in response to determining the probable anomaly, transmit a notification message to at least one of the driver and user mobile devices.
                        ",Grant,"UberTechnologies,Inc.","Michael Truong, David Purdy, Rami Mawas"
Teleassistance data prioritization for self-driving vehicles,"May 21, 2019",1029381,"A self-driving vehicle can operate by analyzing a live sensor view to autonomously operate acceleration, braking, and steering systems of the SDV along a current route. Based on a detected anomaly associated with the live sensor view, the SDV can transmit a teleassistance inquiry to a backend transport system in accordance with a data prioritization scheme. The SDV can receive a resolution response from the backend transport system based on the teleassistance inquiry, and proceed in accordance with the resolution response.
                        ",Grant,"UberTechnologies,Inc.","Benjamin Kroop, William Ross, Andrew Heine"
Network computer system for analyzing driving actions of drivers on road segments of a geographic region,"May 21, 2019",1029714,"Examples include a network computer system and/or service which operates to remotely monitor vehicles to detect and characterize driving actions of drivers with respect to specific road segments of a roadway, enabling driving actions performed by multiple drivers at a specific road segment to be characterized and modeled. Models can inform municipalities about potential traffic hazards or other safety challenges. Individual drivers can also be measured against the model to help understand driver performance. Validating vehicle data against baseline values can also detect spoofing of that data.
                        ",Grant,"UBERTECHNOLOGIES,INC.",Theodore Russell Sumers
Method and apparatus for managing communications,"May 21, 2019",1029873,"A system that incorporates teachings of the present disclosure may include, for example, a communication device having a controller to detect a selection of an image from a graphical user interface, identify an entry in a contact book responsive to the detected selection of the image, and retrieve one or more communication identifiers associated with the party from the entry of the contact book for initiating a communication session. Other embodiments are disclosed.
                        ",Grant,"UberTechnologies,Inc.","Anup D. Karnalkar, R. Tyler Wallis, William Stanley Robbins, Susan Steele, Larry B. Pearson"
Radar multipath processing,"May 21, 2019",1029600,"A control system of an autonomous vehicle (AV) can receive sensor data from a sensor array of the AV. The sensor data can comprise raw radar data from a radar system of the sensor array, and in many examples, a live LIDAR data from a LIDAR system of the sensor array. In certain implementations the control system can access a current localization map or a live LIDAR map of a surrounding area of the AV, and compare the raw radar data with the current localization map or the live LIDAR map to identify multipath objects in the raw radar data. The control system may then remove the multipath objects or track the actual objects corresponding to the multipath objects accordingly.
                        ",Grant,"UberTechnologies,Inc.","Warren Smith, Howard Smith"
Network computer system to evaluate an operator of a freight vehicle,"May 21, 2019",1029383,"A network computer system can associate an operator with a mobile device. Additionally, the network computer system can monitor the operator using the mobile device over a time interval that a freight vehicle is operated between a start location and a destination location. During the time interval, the network computer system can control the mobile device in transmitting interval data. Additionally, based on the interval data, the network computer system can evaluate the operator over the time interval using the interval data. The evaluation of the operator can include using the mobile device information to evaluate the operator over the one or more sub-intervals.
                        ",Grant,"UberTechnologies,Inc.","Luis Madrigal, Eyal Lasker, Xiao Guo, Padmini Pyapali, Tony Ran Zhang"
Social media integration for transport arrangement service,"May 14, 2019",1029157,"A transport arrangement and networking system can receive pick-up requests from user devices of requesting users. The pick-up requests can include a carpool service preference. The system can transmit an invitation to a driver device of a proximate carpool driver to service each received pick-up request and identify carpool riders riding with each requesting user. The system can further access social media data for the requesting user and the carpool riders. When the accessed social media data indicates a common link between the requesting user and the carpool rider(s) the system can generate and transmit a notification to the requesting user indicating the common link.
                        ",Grant,"UberTechnologies,Inc.","Rahul Bijor, Matthew Wyndowe, Zoran Martinovic, Dmitry Shevelenko, Amritha Prasad"
Entrance detection from street-level imagery,"May 14, 2019",1028991,"Architecture that detects entrances on building facades. In a first stage, scene geometry is exploited and the multi-dimensional problem is reduced down to a one-dimensional (1D) problem. Entrance hypotheses are generated by considering pairs of locations along lines exhibiting strong gradients in the transverse direction. In a second stage, a rich set of discriminative image features for entrances is explored according to constructed designs, specifically focusing on properties such as symmetry and color consistency, for example. Classifiers (e.g., random forest) are utilized to perform automatic feature selection and entrance classification. In another stage, a joint model is formulated in three dimensions (3D) for entrances on a given facade, which enables the exploitation of physical constraints between different entrances on the same facade in a systematic manner to prune false positives, and thereby select an optimum set of entrances on a given facade.
                        ",Grant,"UberTechnologies,Inc.","Jingchen Liu, Vasudev Parameswaran, Thommen Korah, Varsha Hedau, Radek Grzeszczuk, Yanxi Liu"
Controlling a three-dimensional virtual broadcast presentation,"May 14, 2019",1028926,"Control of a three-dimensional virtual broadcast presentation is disclosed. The three-dimensional virtual broadcast presentation may be generated based on dynamic information such as traffic information, weather information, or other information that may be featured on a three-dimensional virtual broadcast presentation. A signal generated by a control device maneuvered by a presenter and reflecting positional information of the control device is received. A view of the three-dimensional virtual broadcast presentation is manipulated in response to the received signal, the manipulation of the virtual broadcast presentation at least partially based on positional information of the control device.
                        ",Grant,"UberTechnologies,Inc.","Andre Gueziec, Briac Blanquart"
